30 , 0.13
29 , 0.12
28 , 0.12
27 , 0.12
26 , 0.11
25 , 0.12
24 , 0.11
23 , 0.12
22 , 0.13
21 , 0.12
20 , 0.13
19 , 0.16
18 , 0.22
17 , 0.27
16 , 0.31
15 , 0.36
14 , 0.53
13 , 0.90
12 , 1.45
11 , 2.20
10 , 3.00
9 , 4.10
8 , 5.50
7 , 7.40
6 , 9.30
5 , 11.2
4 , 13.3
3 , 15.00
2 , 16.70
1 , 18.80
0 , 17.50
-1 , 17.30
-2 , 16.20
-3 , 15,30
-4 , 13.80
-5 , 11.00
-6 , 8.90
-7 , 6.70
-8 , 4.80
-9 , 3.50
-10 , 2.30
-11 , 1.60
-12 , 0.90
-13 , 0.90
-14 , 0.55
-15 , 0.32
-16 , 0.21
-17 , 0.15
-18 , 0.12
-19 , 0.10
-20 , 0.10
-21 , 0.09
-22 , 0.09
-23 , 0.09
-24 , 0.08
-25 , 0.09
-26 , 0.09
-27 , 0.09
-28 , 0.09
-29 , 0.09
-30 , 0.08
